Course Name,Course Link,Course Description,Price,Starting Date,Whether it is live or self-paced,Number of Lessons,Total Duration in Hours,Who the course is meant for
Generative AI Foundations 2,https://vizuara.ai/courses/generative-ai-foundations-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2026-08-03,Self-Paced,29,23,Software engineers
Generative AI Bootcamp 2,https://vizuara.ai/courses/generative-ai-bootcamp-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2026-08-06,Live,30,24,Data analysts
Generative AI Masterclass 2,https://vizuara.ai/courses/generative-ai-masterclass-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2026-08-09,Self-Paced,31,25,College students
Generative AI Professional Certificate 2,https://vizuara.ai/courses/generative-ai-professional-certificate-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2026-08-12,Self-Paced,32,26,ML practitioners
Generative AI Applied Projects 2,https://vizuara.ai/courses/generative-ai-applied-projects-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2026-08-15,Live,33,27,AI engineers
Generative AI Hands-On Workshop 2,https://vizuara.ai/courses/generative-ai-hands-on-workshop-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2026-08-18,Self-Paced,34,28,Backend developers
Generative AI Essentials 2,https://vizuara.ai/courses/generative-ai-essentials-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2026-08-21,Self-Paced,35,29,Tech leads
Generative AI Advanced Techniques 2,https://vizuara.ai/courses/generative-ai-advanced-techniques-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2026-08-24,Live,36,30,Product managers
Generative AI Industry Applications 2,https://vizuara.ai/courses/generative-ai-industry-applications-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2026-08-27,Self-Paced,37,31,Working professionals
Generative AI Production Systems 2,https://vizuara.ai/courses/generative-ai-production-systems-2,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2026-08-30,Self-Paced,38,32,Beginners entering AI
Generative AI Foundations 3,https://vizuara.ai/courses/generative-ai-foundations-3,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2026-09-02,Live,39,33,Software engineers
Generative AI Bootcamp 3,https://vizuara.ai/courses/generative-ai-bootcamp-3,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2026-09-05,Self-Paced,40,34,Data analysts
Generative AI Masterclass 3,https://vizuara.ai/courses/generative-ai-masterclass-3,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2026-09-08,Self-Paced,41,35,College students
Generative AI Professional Certificate 3,https://vizuara.ai/courses/generative-ai-professional-certificate-3,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2026-09-11,Live,42,36,ML practitioners
Generative AI Applied Projects 3,https://vizuara.ai/courses/generative-ai-applied-projects-3,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2026-09-14,Self-Paced,43,37,AI engineers
Machine Learning Foundations 1,https://vizuara.ai/courses/machine-learning-foundations-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2026-09-17,Self-Paced,44,38,Backend developers
Machine Learning Bootcamp 1,https://vizuara.ai/courses/machine-learning-bootcamp-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2026-09-20,Live,45,39,Tech leads
Machine Learning Masterclass 1,https://vizuara.ai/courses/machine-learning-masterclass-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2026-09-23,Self-Paced,46,40,Product managers
Machine Learning Professional Certificate 1,https://vizuara.ai/courses/machine-learning-professional-certificate-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2026-09-26,Self-Paced,47,41,Working professionals
Machine Learning Applied Projects 1,https://vizuara.ai/courses/machine-learning-applied-projects-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2026-09-29,Live,48,42,Beginners entering AI
Machine Learning Hands-On Workshop 1,https://vizuara.ai/courses/machine-learning-hands-on-workshop-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2026-10-02,Self-Paced,49,43,Software engineers
Machine Learning Essentials 1,https://vizuara.ai/courses/machine-learning-essentials-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2026-10-05,Self-Paced,50,44,Data analysts
Machine Learning Advanced Techniques 1,https://vizuara.ai/courses/machine-learning-advanced-techniques-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2026-10-08,Live,51,45,College students
Machine Learning Industry Applications 1,https://vizuara.ai/courses/machine-learning-industry-applications-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2026-10-11,Self-Paced,52,46,ML practitioners
Machine Learning Production Systems 1,https://vizuara.ai/courses/machine-learning-production-systems-1,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2026-10-14,Self-Paced,18,47,AI engineers
Machine Learning Foundations 2,https://vizuara.ai/courses/machine-learning-foundations-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2026-10-17,Live,19,48,Backend developers
Machine Learning Bootcamp 2,https://vizuara.ai/courses/machine-learning-bootcamp-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2026-10-20,Self-Paced,20,49,Tech leads
Machine Learning Masterclass 2,https://vizuara.ai/courses/machine-learning-masterclass-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2026-10-23,Self-Paced,21,50,Product managers
Machine Learning Professional Certificate 2,https://vizuara.ai/courses/machine-learning-professional-certificate-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2026-10-26,Live,22,51,Working professionals
Machine Learning Applied Projects 2,https://vizuara.ai/courses/machine-learning-applied-projects-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2026-10-29,Self-Paced,23,52,Beginners entering AI
Machine Learning Hands-On Workshop 2,https://vizuara.ai/courses/machine-learning-hands-on-workshop-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2026-11-01,Self-Paced,24,53,Software engineers
Machine Learning Essentials 2,https://vizuara.ai/courses/machine-learning-essentials-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2026-11-04,Live,25,54,Data analysts
Machine Learning Advanced Techniques 2,https://vizuara.ai/courses/machine-learning-advanced-techniques-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2026-11-07,Self-Paced,26,55,College students
Machine Learning Industry Applications 2,https://vizuara.ai/courses/machine-learning-industry-applications-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2026-11-10,Self-Paced,27,56,ML practitioners
Machine Learning Production Systems 2,https://vizuara.ai/courses/machine-learning-production-systems-2,"Comprehensive machine learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2026-11-13,Live,28,57,AI engineers
Data Science Foundations 1,https://vizuara.ai/courses/data-science-foundations-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2026-11-16,Self-Paced,29,58,Backend developers
Data Science Bootcamp 1,https://vizuara.ai/courses/data-science-bootcamp-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2026-11-19,Self-Paced,30,59,Tech leads
Data Science Masterclass 1,https://vizuara.ai/courses/data-science-masterclass-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2026-11-22,Live,31,60,Product managers
Data Science Professional Certificate 1,https://vizuara.ai/courses/data-science-professional-certificate-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2026-11-25,Self-Paced,32,61,Working professionals
Data Science Applied Projects 1,https://vizuara.ai/courses/data-science-applied-projects-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2026-11-28,Self-Paced,33,12,Beginners entering AI
Data Science Hands-On Workshop 1,https://vizuara.ai/courses/data-science-hands-on-workshop-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2026-12-01,Live,34,13,Software engineers
Data Science Essentials 1,https://vizuara.ai/courses/data-science-essentials-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2026-12-04,Self-Paced,35,14,Data analysts
Data Science Advanced Techniques 1,https://vizuara.ai/courses/data-science-advanced-techniques-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2026-12-07,Self-Paced,36,15,College students
Data Science Industry Applications 1,https://vizuara.ai/courses/data-science-industry-applications-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2026-12-10,Live,37,16,ML practitioners
Data Science Production Systems 1,https://vizuara.ai/courses/data-science-production-systems-1,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2026-12-13,Self-Paced,38,17,AI engineers
Data Science Foundations 2,https://vizuara.ai/courses/data-science-foundations-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2026-12-16,Self-Paced,39,18,Backend developers
Data Science Bootcamp 2,https://vizuara.ai/courses/data-science-bootcamp-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2026-12-19,Live,40,19,Tech leads
Data Science Masterclass 2,https://vizuara.ai/courses/data-science-masterclass-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2026-12-22,Self-Paced,41,20,Product managers
Data Science Professional Certificate 2,https://vizuara.ai/courses/data-science-professional-certificate-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2026-12-25,Self-Paced,42,21,Working professionals
Data Science Applied Projects 2,https://vizuara.ai/courses/data-science-applied-projects-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2026-12-28,Live,43,22,Beginners entering AI
Data Science Hands-On Workshop 2,https://vizuara.ai/courses/data-science-hands-on-workshop-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2026-12-31,Self-Paced,44,23,Software engineers
Data Science Essentials 2,https://vizuara.ai/courses/data-science-essentials-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-01-03,Self-Paced,45,24,Data analysts
Data Science Advanced Techniques 2,https://vizuara.ai/courses/data-science-advanced-techniques-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-01-06,Live,46,25,College students
Data Science Industry Applications 2,https://vizuara.ai/courses/data-science-industry-applications-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-01-09,Self-Paced,47,26,ML practitioners
Data Science Production Systems 2,https://vizuara.ai/courses/data-science-production-systems-2,"Comprehensive data science course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-01-12,Self-Paced,48,27,AI engineers
Python Programming Foundations 1,https://vizuara.ai/courses/python-programming-foundations-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-01-15,Live,49,28,Backend developers
Python Programming Bootcamp 1,https://vizuara.ai/courses/python-programming-bootcamp-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-01-18,Self-Paced,50,29,Tech leads
Python Programming Masterclass 1,https://vizuara.ai/courses/python-programming-masterclass-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-01-21,Self-Paced,51,30,Product managers
Python Programming Professional Certificate 1,https://vizuara.ai/courses/python-programming-professional-certificate-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-01-24,Live,52,31,Working professionals
Python Programming Applied Projects 1,https://vizuara.ai/courses/python-programming-applied-projects-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-01-27,Self-Paced,18,32,Beginners entering AI
Python Programming Hands-On Workshop 1,https://vizuara.ai/courses/python-programming-hands-on-workshop-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-01-30,Self-Paced,19,33,Software engineers
Python Programming Essentials 1,https://vizuara.ai/courses/python-programming-essentials-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-02-02,Live,20,34,Data analysts
Python Programming Advanced Techniques 1,https://vizuara.ai/courses/python-programming-advanced-techniques-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-02-05,Self-Paced,21,35,College students
Python Programming Industry Applications 1,https://vizuara.ai/courses/python-programming-industry-applications-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-02-08,Self-Paced,22,36,ML practitioners
Python Programming Production Systems 1,https://vizuara.ai/courses/python-programming-production-systems-1,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-02-11,Live,23,37,AI engineers
Python Programming Foundations 2,https://vizuara.ai/courses/python-programming-foundations-2,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-02-14,Self-Paced,24,38,Backend developers
Python Programming Bootcamp 2,https://vizuara.ai/courses/python-programming-bootcamp-2,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-02-17,Self-Paced,25,39,Tech leads
Python Programming Masterclass 2,https://vizuara.ai/courses/python-programming-masterclass-2,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-02-20,Live,26,40,Product managers
Python Programming Professional Certificate 2,https://vizuara.ai/courses/python-programming-professional-certificate-2,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-02-23,Self-Paced,27,41,Working professionals
Python Programming Applied Projects 2,https://vizuara.ai/courses/python-programming-applied-projects-2,"Comprehensive python programming course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-02-26,Self-Paced,28,42,Beginners entering AI
Deep Learning Foundations 1,https://vizuara.ai/courses/deep-learning-foundations-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-03-01,Live,29,43,Software engineers
Deep Learning Bootcamp 1,https://vizuara.ai/courses/deep-learning-bootcamp-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-03-04,Self-Paced,30,44,Data analysts
Deep Learning Masterclass 1,https://vizuara.ai/courses/deep-learning-masterclass-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-03-07,Self-Paced,31,45,College students
Deep Learning Professional Certificate 1,https://vizuara.ai/courses/deep-learning-professional-certificate-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-03-10,Live,32,46,ML practitioners
Deep Learning Applied Projects 1,https://vizuara.ai/courses/deep-learning-applied-projects-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-03-13,Self-Paced,33,47,AI engineers
Deep Learning Hands-On Workshop 1,https://vizuara.ai/courses/deep-learning-hands-on-workshop-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-03-16,Self-Paced,34,48,Backend developers
Deep Learning Essentials 1,https://vizuara.ai/courses/deep-learning-essentials-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-03-19,Live,35,49,Tech leads
Deep Learning Advanced Techniques 1,https://vizuara.ai/courses/deep-learning-advanced-techniques-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-03-22,Self-Paced,36,50,Product managers
Deep Learning Industry Applications 1,https://vizuara.ai/courses/deep-learning-industry-applications-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-03-25,Self-Paced,37,51,Working professionals
Deep Learning Production Systems 1,https://vizuara.ai/courses/deep-learning-production-systems-1,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-03-28,Live,38,52,Beginners entering AI
Deep Learning Foundations 2,https://vizuara.ai/courses/deep-learning-foundations-2,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-03-31,Self-Paced,39,53,Software engineers
Deep Learning Bootcamp 2,https://vizuara.ai/courses/deep-learning-bootcamp-2,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-04-03,Self-Paced,40,54,Data analysts
Deep Learning Masterclass 2,https://vizuara.ai/courses/deep-learning-masterclass-2,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-04-06,Live,41,55,College students
Deep Learning Professional Certificate 2,https://vizuara.ai/courses/deep-learning-professional-certificate-2,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-04-09,Self-Paced,42,56,ML practitioners
Deep Learning Applied Projects 2,https://vizuara.ai/courses/deep-learning-applied-projects-2,"Comprehensive deep learning course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-04-12,Self-Paced,43,57,AI engineers
MLOps Foundations 1,https://vizuara.ai/courses/mlops-foundations-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-04-15,Live,44,58,Backend developers
MLOps Bootcamp 1,https://vizuara.ai/courses/mlops-bootcamp-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-04-18,Self-Paced,45,59,Tech leads
MLOps Masterclass 1,https://vizuara.ai/courses/mlops-masterclass-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-04-21,Self-Paced,46,60,Product managers
MLOps Professional Certificate 1,https://vizuara.ai/courses/mlops-professional-certificate-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-04-24,Live,47,61,Working professionals
MLOps Applied Projects 1,https://vizuara.ai/courses/mlops-applied-projects-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-04-27,Self-Paced,48,12,Beginners entering AI
MLOps Hands-On Workshop 1,https://vizuara.ai/courses/mlops-hands-on-workshop-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-04-30,Self-Paced,49,13,Software engineers
MLOps Essentials 1,https://vizuara.ai/courses/mlops-essentials-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-05-03,Live,50,14,Data analysts
MLOps Advanced Techniques 1,https://vizuara.ai/courses/mlops-advanced-techniques-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-05-06,Self-Paced,51,15,College students
MLOps Industry Applications 1,https://vizuara.ai/courses/mlops-industry-applications-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-05-09,Self-Paced,52,16,ML practitioners
MLOps Production Systems 1,https://vizuara.ai/courses/mlops-production-systems-1,"Comprehensive mlops course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-05-12,Live,18,17,AI engineers
Data Engineering Foundations 1,https://vizuara.ai/courses/data-engineering-foundations-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-05-15,Self-Paced,19,18,Backend developers
Data Engineering Bootcamp 1,https://vizuara.ai/courses/data-engineering-bootcamp-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-05-18,Self-Paced,20,19,Tech leads
Data Engineering Masterclass 1,https://vizuara.ai/courses/data-engineering-masterclass-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-05-21,Live,21,20,Product managers
Data Engineering Professional Certificate 1,https://vizuara.ai/courses/data-engineering-professional-certificate-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-05-24,Self-Paced,22,21,Working professionals
Data Engineering Applied Projects 1,https://vizuara.ai/courses/data-engineering-applied-projects-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-05-27,Self-Paced,23,22,Beginners entering AI
Data Engineering Hands-On Workshop 1,https://vizuara.ai/courses/data-engineering-hands-on-workshop-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-05-30,Live,24,23,Software engineers
Data Engineering Essentials 1,https://vizuara.ai/courses/data-engineering-essentials-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-06-02,Self-Paced,25,24,Data analysts
Data Engineering Advanced Techniques 1,https://vizuara.ai/courses/data-engineering-advanced-techniques-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-06-05,Self-Paced,26,25,College students
Data Engineering Industry Applications 1,https://vizuara.ai/courses/data-engineering-industry-applications-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-06-08,Live,27,26,ML practitioners
Data Engineering Production Systems 1,https://vizuara.ai/courses/data-engineering-production-systems-1,"Comprehensive data engineering course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-06-11,Self-Paced,28,27,AI engineers
Cloud & AI Infrastructure Foundations 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-foundations-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-06-14,Self-Paced,29,28,Backend developers
Cloud & AI Infrastructure Bootcamp 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-bootcamp-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-06-17,Live,30,29,Tech leads
Cloud & AI Infrastructure Masterclass 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-masterclass-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-06-20,Self-Paced,31,30,Product managers
Cloud & AI Infrastructure Professional Certificate 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-professional-certificate-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-06-23,Self-Paced,32,31,Working professionals
Cloud & AI Infrastructure Applied Projects 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-applied-projects-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-06-26,Live,33,32,Beginners entering AI
Cloud & AI Infrastructure Hands-On Workshop 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-hands-on-workshop-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-06-29,Self-Paced,34,33,Software engineers
Cloud & AI Infrastructure Essentials 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-essentials-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-07-02,Self-Paced,35,34,Data analysts
Cloud & AI Infrastructure Advanced Techniques 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-advanced-techniques-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-07-05,Live,36,35,College students
Cloud & AI Infrastructure Industry Applications 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-industry-applications-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-07-08,Self-Paced,37,36,ML practitioners
Cloud & AI Infrastructure Production Systems 1,https://vizuara.ai/courses/cloud-and-ai-infrastructure-production-systems-1,"Comprehensive cloud & ai infrastructure course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-07-11,Self-Paced,38,37,AI engineers
NLP Foundations 1,https://vizuara.ai/courses/nlp-foundations-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-07-14,Live,39,38,Backend developers
